Carrier_Airline,Tail_Number,Origin,Dest,Schedule_DateTime,Flight_Duration_Minutes,Flight_Delay,Orientation
OH,N539EA,CHA,CLT,2022-03-01 16:30:00,85.0,35.0,East-West
OH,N528EG,CHA,CLT,2022-03-02 16:30:00,85.0,-19.0,East-West
OH,N539EA,CLT,CHA,2022-03-01 14:35:00,81.0,39.0,East-West
OH,N528EG,CLT,CHA,2022-03-02 14:35:00,81.0,-3.0,East-West
OH,N610NN,CLT,LFT,2022-03-03 22:31:00,150.0,-18.0,East-West
OH,N519AE,CLT,LFT,2022-03-07 22:31:00,150.0,-6.0,East-West
OH,N510AE,CLT,LFT,2022-03-08 21:00:00,150.0,7.0,East-West
OH,N518AE,CLT,LFT,2022-03-10 22:31:00,150.0,-18.0,East-West
OH,N718PS,CLT,LFT,2022-03-14 22:31:00,150.0,16.0,East-West
OH,N511AE,CLT,LFT,2022-03-15 21:00:00,150.0,38.0,East-West
OH,N712PS,CLT,LFT,2022-03-16 21:00:00,150.0,24.0,East-West
OH,N723PS,CLT,LFT,2022-03-18 22:31:00,150.0,-9.0,East-West
OH,N541EA,CLT,LFT,2022-03-19 22:31:00,150.0,5.0,East-West
OH,N524AE,CLT,LFT,2022-03-20 22:31:00,150.0,-18.0,East-West
OH,N716PS,CLT,LFT,2022-03-21 22:31:00,150.0,-15.0,East-West
OH,N536EA,CLT,LFT,2022-03-25 22:31:00,150.0,8.0,East-West
OH,N525AE,CLT,LFT,2022-03-26 22:31:00,150.0,-25.0,East-West
OH,N520DC,CLT,LFT,2022-03-28 22:31:00,150.0,-30.0,East-West
OH,N525AE,CLT,LFT,2022-03-29 21:00:00,150.0,-5.0,East-West
OH,N503AE,CLT,LFT,2022-03-30 21:00:00,150.0,85.0,East-West
OH,N518AE,CLT,LFT,2022-03-31 22:31:00,150.0,13.0,East-West
OH,N506AE,CLT,CRW,2022-03-01 16:21:00,73.0,-6.0,North-South
OH,N512AE,CLT,CRW,2022-03-02 16:21:00,73.0,24.0,North-South
OH,N526EA,CLT,CRW,2022-03-03 16:34:00,75.0,-1.0,North-South
OH,N520DC,CLT,CRW,2022-03-04 16:34:00,75.0,14.0,North-South
OH,N534AE,CLT,CRW,2022-03-05 16:34:00,75.0,-10.0,North-South
OH,N532EA,CLT,CRW,2022-03-06 16:34:00,75.0,-15.0,North-South
OH,N527EA,CLT,CRW,2022-03-07 16:34:00,75.0,22.0,North-South
OH,N518AE,CLT,CRW,2022-03-09 16:34:00,75.0,-23.0,North-South
OH,N535EA,CLT,CRW,2022-03-10 16:34:00,75.0,-24.0,North-South
OH,N511AE,CLT,CRW,2022-03-11 16:34:00,75.0,-16.0,North-South
OH,N540EG,CLT,CRW,2022-03-13 16:34:00,75.0,-7.0,North-South
OH,N529EA,CLT,CRW,2022-03-14 16:34:00,75.0,-20.0,North-South
OH,N706PS,CLT,CRW,2022-03-16 16:34:00,75.0,-19.0,North-South
OH,N603NN,CLT,CRW,2022-03-17 16:34:00,75.0,-19.0,North-South
OH,N534AE,CLT,CRW,2022-03-18 16:34:00,75.0,57.0,North-South
OH,N536EA,CLT,CRW,2022-03-20 16:34:00,75.0,-6.0,North-South
OH,N527EA,CLT,CRW,2022-03-21 16:34:00,75.0,6.0,North-South
OH,N716PS,CLT,CRW,2022-03-23 16:34:00,75.0,-21.0,North-South
OH,N538EG,CLT,CRW,2022-03-24 16:34:00,75.0,-13.0,North-South
OH,N519AE,CLT,CRW,2022-03-25 16:34:00,75.0,-1.0,North-South
OH,N540EG,CLT,CRW,2022-03-27 16:34:00,75.0,-7.0,North-South
OH,N503AE,CLT,CRW,2022-03-28 16:34:00,75.0,-13.0,North-South
OH,N508AE,CLT,CRW,2022-03-30 16:34:00,75.0,-17.0,North-South
OH,N517AE,CLT,CAK,2022-03-09 16:45:00,100.0,-14.0,North-South
OH,N537EA,CLT,CAK,2022-03-16 16:45:00,100.0,-18.0,North-South
OH,N510AE,CLT,CAK,2022-03-23 16:45:00,100.0,64.0,North-South
OH,N712PS,CLT,CAK,2022-03-30 16:45:00,100.0,-15.0,North-South
OH,N587NN,CLT,TYS,2022-03-08 09:16:00,77.0,5.0,East-West
OH,N555NN,CLT,TYS,2022-03-15 09:16:00,77.0,-11.0,East-West
OH,N564NN,CLT,TYS,2022-03-22 09:16:00,77.0,1.0,East-West
OH,N564NN,CVG,CLT,2022-03-01 06:45:00,103.0,-11.0,North-South
OH,N558NN,CVG,CLT,2022-03-02 06:45:00,103.0,-14.0,North-South
